num_blocks,initial_filters,filter_sizes,nhl_activation,ol_activation,cost_function,data_split,learning_rate,weight_decay,betas,epochs,average_test_accuracy,std_test_accuracy,average_f1_score,std_f1_score
1,16,[16],relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,66.66666666666667,1.686650634101205,0.6619525047381613,0.02032041146638032
1,16,[16],relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,62.4003074853464,0.17613435937180194,0.617990177883883,0.0041965784880977335
1,16,[16],relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,50.94901734659555,1.000845039921349,0.4780986890282536,0.017311469273706356
1,16,[16],sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,63.17204301075269,2.125360077115472,0.6220698848558989,0.019665106731133968
1,16,[16],sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,58.220428557701545,0.6638503103455702,0.5708727669701115,0.008718675863720996
1,16,[16],sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,47.49411368987555,0.648748789841436,0.45490785161065594,0.009963867115484033
2,16,"[16, 32]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,70.39170506912443,2.2954906503653545,0.7081723556764258,0.022209122019742553
2,16,"[16, 32]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,65.29259152493513,0.05765350245027179,0.6464965692795718,0.0036899851949504796
2,16,"[16, 32]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,53.140166258228824,0.8525047728084245,0.5070914490145391,0.006728853949298646
2,16,"[16, 32]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,69.35483870967742,2.2250239534364034,0.684877457368803,0.024190958881846403
2,16,"[16, 32]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,62.506005573171905,0.6448005792181254,0.6134145066741815,0.009096297619861646
2,16,"[16, 32]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,47.556580654461584,1.130579662891234,0.4393821550451883,0.016466537515578864
3,16,"[16, 32, 64]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,72.15821812596006,0.8948679107320272,0.7186832198622304,0.009167409224014855
3,16,"[16, 32, 64]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,66.85884500816758,0.44782089738564756,0.657821094352603,0.00618034916818388
3,16,"[16, 32, 64]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,50.5165537456153,0.2506520850654917,0.47888352448658517,0.011147616521826584
