problem_file,selection_method,crossover_method,mutation_method,elitism,diversity_injection,final_best_fitness_error,convergence_rate,time_taken
lin105,tournament,pmx,swap,0,0,127.35934348702968,0.9388888888888888,58.87099941571554
lin105,tournament,pmx,inversion,1,1,16.786053735772075,0.8079999999999999,49.67550619443258
lin105,tournament,pmx,inversion,1,0,23.388274567076987,0.6718888888888889,41.19170983632406
lin105,tournament,pmx,inversion,0,1,18.758838120407077,0.7842222222222222,49.480250438054405
lin105,tournament,pmx,inversion,0,0,20.27493798826993,0.886,55.78733913103739
lin105,tournament,pmx,scramble,1,1,289.714166492802,0.5453333333333333,33.579152504603066
lin105,tournament,pmx,scramble,1,0,254.63523193546143,0.6203333333333333,38.265220165252686
lin105,tournament,pmx,scramble,0,1,281.2365254885597,0.6084444444444445,38.7649834950765
lin105,tournament,pmx,scramble,0,0,261.4275447991284,0.7172222222222223,45.31875507036845
lin105,tournament,order,swap,1,1,71.25205739852099,0.8817777777777778,62.476994593938194
lin105,tournament,order,swap,1,0,70.84405498759766,0.7398888888888889,52.45642431577047
lin105,tournament,order,swap,0,1,63.62751234439112,0.8822222222222221,64.51773428916931
lin105,tournament,order,swap,0,0,80.18406472401882,0.7322222222222221,53.33881719907125
lin105,tournament,order,inversion,1,1,13.410761063588104,0.7863333333333333,55.97952278455099
lin105,tournament,order,inversion,1,0,14.896724389735033,0.7004444444444444,49.75567936897278
lin105,tournament,order,inversion,0,1,10.610380879523378,0.9351111111111112,68.39492376645406
lin105,tournament,order,inversion,0,0,11.890024804692027,0.8478888888888889,61.795661211013794
lin105,tournament,order,scramble,1,1,93.01991329948768,0.6915555555555555,51.546591997146606
lin105,tournament,order,scramble,1,0,120.13352806175672,0.4921111111111111,36.301731745402016
lin105,tournament,order,scramble,0,1,132.14641722882905,0.5395555555555556,40.95715912183126
lin105,tournament,order,scramble,0,0,140.64955838375408,0.5106666666666667,38.775566260019936
ulysses22,sus,pmx,swap,1,1,42.09800846047816,0.234,4.557750066121419
ulysses22,sus,pmx,swap,1,0,37.04548695280194,0.2252222222222222,4.510175784428914
ulysses22,sus,pmx,swap,0,1,69.0336993203099,0.0772222222222222,1.5537428855895996
